     word     |                                                                                                                                        meaning_1                                                                                                                                        |                                                                            example_1                                                                             
--------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------
 stop         | Bir şeyi yapmayı bırakmak veya durdurmak.                                                                                                                                                                                                                                               | Please stop talking. (Lütfen konuşmayı bırak.)
 dollar       | Amerika Birleşik Devletleri'nin para birimi veya başka ülkelerde kullanılan benzer para birimi.                                                                                                                                                                                         | I have ten dollars in my wallet. (Cüzdanımda on dolar var.)
 wouldn       | 'Would not' ifadesinin kısaltmasıdır ve olumsuz şart veya istek belirtmek için kullanılır.                                                                                                                                                                                              | I wouldn go there if I were you. (Senin yerinde olsam oraya gitmezdim.)
 thank        | Birine yaptığı iyilik veya yardım için minnettarlığını söylemek.                                                                                                                                                                                                                        | I want to thank you for your help. (Yardımın için sana teşekkür etmek istiyorum.)
 energy       | Bir şeyi hareket ettirmek veya çalıştırmak için gereken güç veya kuvvet.                                                                                                                                                                                                                | The sun gives us energy to grow plants. (Güneş, bitkilerin büyümesi için bize güç verir.)
 ahead        | Önde, ileride, bir şeyin önünde veya gelecekte olan bir zamanda.                                                                                                                                                                                                                        | We have a long road ahead. (Önümüzde uzun bir yol var.)
 the          | Belirli bir şeyi veya kişiyi işaret etmek için kullanılan kelime.                                                                                                                                                                                                                       | The book is on the table. (Kitap masanın üzerinde.)
 scratch      | Deri veya yüzey üzerinde hafifçe çizik veya iz yapmak.                                                                                                                                                                                                                                  | The cat scratched the furniture. (Kedi mobilyaya tırmaladı.)
 got          | Almak, sahip olmak veya bir şeyi elde etmek için kullanılır. 'Get' fiilinin geçmiş hali.                                                                                                                                                                                                | I got a new book yesterday. (Dün yeni bir kitap aldım.)
 blue         | Gökyüzü veya deniz gibi rengin açık veya koyu tonunda olan.                                                                                                                                                                                                                             | The sky is blue today. (Bugün gökyüzü mavidir.)
 defence      | Bir şeyi zarar görmekten veya saldırıdan koruma işi.                                                                                                                                                                                                                                    | The castle's defence was very strong. (Kalenin savunması çok güçlüydü.)
 red          | Kırmızı renkli, kan veya elma gibi kırmızı olan.                                                                                                                                                                                                                                        | She wore a red dress to the party. (O, partiye kırmızı bir elbise giydi.)
 costing      | Bir ürün veya hizmetin maliyetini hesaplama işlemi.                                                                                                                                                                                                                                     | The costing of the project took several days. (Projenin maliyet hesaplaması birkaç gün sürdü.)
 slower       | Bir şeyin hızının daha az olması, daha yavaş hareket eden veya gerçekleşen.                                                                                                                                                                                                             | He is a slower runner than his brother. (O, kardeşinden daha yavaş koşar.)
 faced        | Bir şeyle doğrudan karşılaşmak veya onunla uğraşmak.                                                                                                                                                                                                                                    | She faced many problems at work. (İş yerinde birçok sorunla karşılaştı.)
 awful        | Çok kötü veya rahatsız edici olan şey.                                                                                                                                                                                                                                                  | The food tasted awful. (Yemeğin tadı çok kötüydü.)
 besides      | Bir şeyin yanında veya yakınında, ek olarak                                                                                                                                                                                                                                             | There is a park besides the school. (Okulun yanında bir park var.)
 photo        | Bir kamerayla çekilmiş resim.                                                                                                                                                                                                                                                           | She showed me a photo of her family. (Bana ailesinin bir fotoğrafını gösterdi.)
 empty        | İçinde hiçbir şey olmayan, boş.                                                                                                                                                                                                                                                         | The bottle is empty. (Şişe içinde hiçbir şey yok.)
 half         | Bir şeyin iki eşit parçasından biri.                                                                                                                                                                                                                                                    | I ate half of the cake. (Pastanın yarısını yedim.)
 fast         | Çok hızlı hareket eden veya olan.                                                                                                                                                                                                                                                       | He is a fast runner. (O, çok hızlı koşar.)
 assholes     | Aşağılayıcı, argo ve kaba bir hakaret; bencil, kaba, kasıtlı olarak rahatsız edici veya zarar verici davranan kişileri küçümsemek için kullanılır. Konuşma dilinde yaygındır ama resmî veya nazik ortamlarda uygunsuzdur; arkadaşlar arasında şaka amaçlı kullanılabilir ama kırıcıdır. | He is such an asshole for ignoring everyone's advice. (Herkesin tavsiyelerini görmezden geldiği için gerçekten çok kaba biri.)
 your         | Birine ait olan şeyi gösteren kelime.                                                                                                                                                                                                                                                   | Is this your book? (Bu senin kitabın mı?)
 hungry       | Karnı aç olan, yemek istemek.                                                                                                                                                                                                                                                           | I am hungry because I skipped breakfast. (Kahvaltıyı atladığım için karnım aç.)
 police       | Bir şehir veya bölgedeki düzeni ve güvenliği sağlayan resmi kişiler veya kurum.                                                                                                                                                                                                         | The police arrived quickly at the scene. (Polis olay yerine hızlıca geldi.)
 sake         | Bir şeyin yapılma nedeni veya amacı.                                                                                                                                                                                                                                                    | She did it for the sake of her family. (Onu ailesi için yaptı.)
 and-and      | İki seçenek veya durum arasında kararsız kalarak net bir karar verememe hali; ‘hem–hem’ duygusuyla arada sıkışmış olmak. Gayri resmi, konuşma dilinde kullanılır; hafif bir erteleme veya içsel çelişki tonu taşır.                                                                     | She was stuck in an and-and situation, unsure whether to stay or leave. (Kalmak mı yoksa gitmek mi konusunda kararsız, arada kalmış bir 'and-and' durumundaydı.)
 post         | Mektup veya paket gibi gönderilen şey; ayrıca bir direk veya iş yeri anlamına gelir.                                                                                                                                                                                                    | I received a post from my friend today. (Bugün arkadaşımdan bir mektup aldım.)
 speakers     | Ses çıkartan cihazlar, müzik veya sesleri duyurmak için kullanılır.                                                                                                                                                                                                                     | The speakers in the room were very loud. (Odadaki hoparlörler çok yüksekti.)
