word,meaning
abate,Moderate
adhere,Comply
acumen,Awareness
abash,Disconcert
accord,Agreement
adjunct,Joined
adversity,Misfortune
adamant,Stubborn
admonish,Reprove
allay,Pacify
baroque,Florid
barrier,Barricade
bustle,Commotion
bind,Predicament
batty,Insane
barren,Sterile
baffle,Astound
brittle,Breakable
bleak,Austere
boisterous,Clamorous
calamity,Adversity
captivity,Imprisonment
captivate,Fascinate
chaste,Virtuous
cease,Terminate
compassion,Kindness
consent,Agree
concur,Approve
consolidate,Solidify
contempt,Scorn
decipher,Interpret
decay,Collapse
defray,Spend
defile,Contaminate
demolish,Ruin
deliberate,Intentional
deride,Mock
deprive,Divest
denounce,Blame
derogatory,Sarcastic
elegy,serious reflection
endure,suffer patently
enigma,mysterious or difficult to understand
epitaph,words written in memory of a person
extinction,Cease to exist
extricate,Free from a constraint
enslave,make someone a slave
endeavour,try hard to achieve something
edifice,a large building
elixir,a (magical) potion
fasten,close up securely
fathom,understand something after lots of thoughts
fete,celebration
fidelity,Faithfulness to someone
flick,A sudden sharp movement
flip,turn over
fragile,easily broken or damaged
franchise,an authorisation to an individual or group to carry out commercial activities
futile,Incapable of producing something useful
foresight,Ability to predict something
gale,a very strong wind
gallant,brave
gamble,play games of chance for money
garment,an item of clothing
gastronomy,"Art of choosing, cooking and eating good food"
gaze,a steady intent look
genial,friendly and cheerful
genre,a category of artistic composition
gibberish,meaningless speech
generate,to produce
habitual,done or doing constantly
hail,call out to seek attention
harbinger,Announcement or signals the approach of a person
haughty,arrogantly superior
havoc,destruction
heathen,a follower of a polytheistic religion
hegemony,leadership
hostile,unfriendly; antagonistic
hinder,creating difficulties
hang,to suspend
identical,Same
idle,useless
illuminate,to fill with light
imbibe,to adopt
immortal,undead
imminent,occurring very soon
immunity,protection against disease
impact,to affect
impeach,Charging against someone
impede,Obstructing
jeopardy,Destruction
jettison,Reject or abandon
judicious,sensible
jargon,special words that are difficult to understand
jaunt,a short journey
jolly,Happy and cheerful
juncture,a particular point in time
jurisdiction,territory of a place
juxtapose,place or deal with close together for contrasting effect
junk,old articles that are useless
blameless,Innocent
crazy,Insane
madness,Insanity
arrogant,haughty
awful,terrible
noted,famous
sacristy,vestry
dreadful,terrible
immoderate,excessive
cozy,comfortable
garbage can,trashcan
perception,insight
mind,Intellect
vague,indistinct
immediate,Instant
warranty,guarantee
understandable,comprehensible
indisputable,undeniable
terror,fright
highbrow,intellectual
remoted,isolated
well timed,timely
gratuity,tip
disadvantaged,deprived
abundant,ample
misconceive,misunderstand
denims,jeans
connect,join
ecstasy,joy
magistrate,Justice of the peace
eager,keen
wise,knowing
crusade,campaign
establish,Set up
interplay,interaction
to desert,abandon
touchdown,landing
oblique,indirect
hashish,cannabis
defective,faulty
mischievous,impish
dormant,inactive
turbulent,blustering
disclose,reveal
dally,loiter
missing,lost
drab,dull
fortunate,lucky
hearsay,rumour
mendacity,lying
superb,magnificent
leading,main
chiefly,mainly
aggressive,militant
noon,midday
vague,indistinct
misfortune,mishap
misread,misinterpret
deceptive,misleading
lacking,missing
jealous,envious
doubt,mistrust
wrong,mistaken
away,absent
to notify,To inform
mannequin,model
dicey,risky
empty,drain
misery,distress
impartial,neutral
to behave,To act
bendy,flexible
extra,additional
mediocre,fair
aromatic,fragrant
dispute,debate
ambitious,aspiring
foretell,predict
ignore,disregard
virtue,advantage
to cope,To manage
appreciable,considerable
disagreeable,unpleasant
rubbish,nonsense
lousy,awful
to consult,To refer to
cranky,cross
mackintosh,Waterproof coat
pocket book,notebook
middleman,intermediary
paper money,notes
infamous,notorious
mirth,fun
selection,choice
to quake,To tremble
today,nowadays
hate,loathe
mean,unkind
contaminate,defile
impediment,obstacle
construction,interpretation
hostile,antagonistic
to function,To operate
apparent,obvious
negligent,inattentive
to differentiate,To distinguish
inferior,substandard
win,succeed
hold,grasp
nominate,appoint
near,Approach
charter,constitution
eccentric,unusual
consecutive,successive
morose,sullen
disagree,differ
invoice,bill
to withstand,To resist
insupportable,intolerable
meeting,assembly
convey,communicate
denationalise,privatise
abstract,summary
attractive,appealing
illiberal,intolerant
overhaul,overtake
anyway,besides
to respond,To reply
precis,summary
dry,arid
minimise,To play down
satisfied,convinced
vain,useless
conform,comply
conflict,clash
twister,tornado
float,drift
instinct,intuition
admit,confess
intensify,heighten
intriguing,fascinating
moderate,lenient
minor,lesser
infect,contaminate
vacuum,hoover
removable,detachable
sundown,sunset
joy,delight
encourage,support
class,"Lesson, course"
vanquish,conquer
turmoil,disturbance
transform,convert
deprave,corrupt
chop,cut
diminish,curtail
involve,entail
magnify,exaggerate
constancy,fidelity
ornament,decoration
nugatory,worthless
revolting,disgusting
torpid,lethargic
prompt,immediate
to operate,function
vast,huge
inspect,examine
collect,gather
impetuous,reckless
beneficent,generous
nameless,anonymous
confuse,Mix up
overseas,abroad
deduce,Infer
high,elevated
convalesce,recover
outside,external
renounce,Give up
grouse,grumble
assure,guarantee
advocate,support
coiffure,hairstyle
forehead,brow
discount,reduction
appear,To seem
except,Apart from
survive,outlive
migrant,Moving from one to another
dead,lifeless
notwithstanding,however
native,local
informal,casual
begin,To start
infuriate,enrage
animated,lively
chorus,refrain
necessary,essential
provided,if
remorse,regret
domesticate,cultivate
steady,regular
testament,testimony
if,whether
applicable,relevant
trustworthy,reliable
mend,repair
moral,ethical
nobility,The aristocracy
repute,reputation
abbreviate,condense
unhurt,unharmed
zenith,peak
vacant,empty
fragrance,perfume
maybe,"Perhaps, possibly"
aid,"Help, assist"
magician,conjurer
unfortunate,unlucky
gravestone,headstone
housebreaking,burglary
to grab,To seize
refrain,chorus
disappear,vanish
painting,portray
adjourn,postpone
instructions,directions
momentus,powerful
priority,precedence
stationary,fixed
praise,compliment
insufferable,unbearable
previous,preceding
exactly,precisely
mistrust,distrust
early,premature
untimely,Not on time
antagonize,provoke
citation,quotation
naughty,disobedient
chessy,corny
huge,vast
hole,gap
magnify,expand
lethal,deadly
immune,exempt
mourn,grieve
ban,forbid
infrequent,rare
spontaneous,automatic
to cite,To quote
uncooked,raw
arrive,"Reach, come"
dark,dismal
unlawful,illegal
knowingly,deliberately
moderately,reasonably
insurgent,rebel
uprising,rebellion
clerk,receptionist
miserable,depressing
curative,healing
equity,fairness
immature,inexperienced
artful,crafty
practically,virtually
unvoiced,voiceless
crook,criminal
labyrinth,lost
scrutinise,Examine or inspect
reiterate,Saying something in a different way
proximity,closeness
optimum,best
intrigue,curious
hereby,As a result of
babysitting,Caretaker of a child
backup,Help or support
charge,Demand an amount or something
contrast,Different from something
collide,Hit with force when moving
cordially,In a warm and friendly way
chase,Pursue in order
conference,A formal meeting
dare,Courage to do something
discriminate,biassed
engagement,An arrangement to do something
friction,conflict
fraction,A tiny part of something
fund,A sum of money
fabulous,extraordinary
hallucination,A perception that is not present
harmony,A pleasant and consistent whole
hilarious,Extremely amusing
heartfelt,sincere
harvest,Result of an action
humanitarian,Concerned with or seeking to promote human welfare
illuminate,Make something visible
imagination,Forming new ideas or images or concepts
impossible,Not able to do
incentive,A thing that motivates or encourages to do something
iconic,Relating to or of the nature of an icon
